Date,Corruption,Minor Corruption,Moderate Corruption,Grave Crime,Especially Grave Crime,Embezzlement,Fraud,Legalization of Money
2022-06,1828,77,367,1358,25,129,285,1
2022-07,1920,89,390,1413,28,126,307,1
2022-08,1973,84,409,1455,25,128,324,1
2022-09,2045,99,412,1502,32,125,347,1
2022-10,2084,103,419,1527,35,124,345,1
2022-11,2180,99,438,1606,37,119,368,1
2022-12,2191,93,440,1617,41,110,379,1
2023-01,827,30,145,629,23,45,91,1
2023-02,991,30,191,743,27,59,104,1
2023-03,1088,32,209,816,31,62,143,1
2023-04,1221,39,231,911,40,70,157,1
2023-05,1346,43,255,1000,48,83,180,1
2023-06,1465,54,278,1082,51,90,207,1
2023-07,1595,57,292,1182,64,107,210,1
2023-08,1700,55,328,1249,68,108,212,1
2023-09,1808,68,362,1307,71,117,224,1
2023-10,1889,71,383,1362,73,118,231,1
2023-11,1984,75,420,1411,78,111,231,1
2023-12,2133,71,409,1573,80,198,312,1
2024-01,811,37,96,650,28,122,133,3
2024-06,1531,54,257,1163,57,259,192,4
2024-07,1693,60,278,1280,75,288,219,5
2024-08,666,0,0,0,0,122,76,0
2024-09,1903,61,326,1433,83,309,241,4
2024-10,1989,62,333,1510,84,323,253,4
2024-11,2100,63,364,1587,86,316,289,5
2024-12,2098,59,355,1595,89,312,297,5
2025-01,730,27,110,552,41,121,76,5
